Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Wedge 11,5.44,A,93.34898153666535,94.23391803183475,170.06707259746037,6.403101422081292,65.99023150883468,0.23281188444286727,-4.206977102036063
Wedge 12,5.41,A,93.01846669707314,94.20967635084298,169.83995622708818,7.1258115302066045,66.58336573790417,1.506196423650934,-3.8777281319376016
Wedge 13,5.42,A,93.07159489768856,94.01034371778583,170.41295976118317,6.45044014429709,67.55118880493838,0.24591857060511302,-4.579720969407248
Wedge 14,5.43,A,93.17459151126315,94.15039167743771,170.28255520494412,6.373162441943748,67.20390058350185,0.32374144825230644,-4.520833540336113
Wedge 15,5.42,A,92.44175820617595,94.3266171154765,170.70426239457527,6.35812954420166,65.79620123032606,0.1425927469061321,-4.17602517522181
Wedge 16,5.45,A,92.3744236141319,95.07060268447569,170.09837319306368,6.508659640351539,67.46851730230374,0.19177051159911684,-4.316230712903476
Wedge 17,5.44,A,93.67797108067566,94.22456078681898,169.54782412194834,6.827723976373875,68.26750430134767,1.006209576764391,-4.19252652722713
Wedge 18,5.49,A,92.99218197034759,93.75153519628532,170.39021955782246,6.835537449816485,67.16442511077591,1.0193295916682814,-3.8032443343286957
Wedge 19,5.46,A,93.72607868673666,94.43406310304529,169.18866457065513,7.076829453383198,67.49378444699958,1.2481059471497247,-4.465443809415092
Wedge 20,5.49,A,94.7150311720531,93.09504058210632,169.83129583918668,6.508093989032119,67.43164863615975,1.3681423232360714,-4.295177596870019
Wedge 21,5.49,A,93.61838206226926,93.56124446375054,170.4729262190585,6.254390180546011,67.7104685350173,0.5584011907217956,-4.218767763730284
Wedge 22,5.5,A,93.15209570383398,94.59712239695415,170.01572096884735,6.280626475653776,68.44145378142069,0.5138104497673623,-4.996273250999124
Wedge 23,5.5,A,93.57508823547327,93.82884031732279,170.03902321243996,6.653259191185455,66.81651749913995,1.5305186571133902,-4.105653575914914
Wedge 24,5.5,A,93.6069471182536,93.32644237138442,170.52089545583198,6.45688866156776,67.35409358255713,0.3407788280772053,-3.953451575891961
Wedge 25,5.51,A,92.20067047071032,93.99012307930354,170.71341472386473,6.9093958119068475,66.58742981525346,0.26695746896572814,-3.910335678199459
Wedge 26,5.48,A,93.06153743984713,94.80304157901247,170.31258658434882,5.641517035982403,68.0578278087725,-0.81812139140086515,-5.064677128104577
Wedge 27,5.48,A,93.17444608376536,94.6201173338759,169.7712575449857,6.607600712451642,67.18197736197578,0.19085403628216113,-4.500741912048028
Wedge 28,5.43,A,92.64103850821314,95.07204808155197,170.0219801734966,6.311331256039409,67.35094260291767,1.4233445730192642,-4.888233556955669
Wedge 29,5.43,A,92.93229659353507,94.20197504683499,170.1166423700029,6.826165504619681,67.32438801425685,0.5225934025279599,-4.318219301512258
Wedge 30,5.41,A,93.58164038659842,93.68506783567705,170.21154388090855,6.548887919077416,66.92747327786076,-0.4471995543173932,-3.983143934255196
Wedge 31,5.41,A,93.4672082962983,94.45986220238552,169.5282043764972,6.8274087924989,66.79041672192908,0.955264399146273,-4.374266138566753
Wedge 32,5.42,A,93.4314915145534,93.84955869210908,170.91788810883818,5.420126704418763,66.72495679217923,-1.4513149909891752,-4.345041718935477
Wedge 33,5.42,A,93.0947081566422,94.53955172824212,170.5153455376167,5.61510245740709,66.25429187231771,0.3657509517007469,-4.8288720906476925
Wedge 34,5.44,A,92.72170926185579,94.85717470252935,170.14843654974607,6.276932684665525,67.33921571856442,-0.41692330982677106,-4.5186445878333785
